dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,150.419851,150.386830,99.225013,97.433574,-101.051010,48.345495,0.600619
0.020000,151.997440,151.461103,101.133637,95.431223,-100.117542,46.673382,0.594906
0.020000,153.548581,152.503649,103.002579,93.447103,-99.206009,45.576656,0.588488
0.020000,155.073949,153.513978,104.832199,91.481013,-98.304479,45.076503,0.581395
0.020000,156.574122,154.491691,106.622853,89.532684,-97.416452,44.401376,0.573657
0.020000,158.049596,155.436478,108.374894,87.602048,-96.531805,44.232317,0.565303
0.020000,159.500792,156.348118,110.088678,85.689214,-95.641697,44.505425,0.556362
0.020000,160.928061,157.226479,111.764570,83.794585,-94.731464,45.511665,0.546864
0.020000,162.331681,158.071505,113.402929,81.917927,-93.832901,44.928149,0.536839
0.020000,163.711882,158.883230,115.004132,80.060182,-92.887226,47.283739,0.526318
0.020000,165.068833,159.661760,116.568557,78.221238,-91.947195,47.001523,0.515332
0.020000,166.402656,160.407285,118.096592,76.401746,-90.974608,48.629364,0.503913
0.020000,167.713434,161.120067,119.588637,74.602246,-89.975005,49.980137,0.492094
0.020000,169.001211,161.800439,121.045096,72.822977,-88.963460,50.577262,0.479908
0.020000,170.265997,162.448808,122.466387,71.064538,-87.921946,52.075709,0.467391
0.020000,171.507777,163.065645,123.852931,69.327211,-86.866368,52.778912,0.454575
0.020000,172.726511,163.651484,125.205160,67.611413,-85.789876,53.824569,0.441498
0.020000,173.922141,164.206921,126.523507,65.917385,-84.701406,54.423496,0.428196
0.020000,175.094592,164.732606,127.808415,64.245376,-83.600470,55.046823,0.414703
0.020000,176.243778,165.229240,129.060323,62.595389,-82.499343,55.056368,0.401057
0.020000,177.369602,165.697571,130.279672,60.967479,-81.395473,55.193456,0.387294
0.020000,178.471961,166.138389,131.466902,59.361482,-80.299877,54.779807,0.373450
0.020000,179.550745,166.552521,132.622446,57.777202,-79.214006,54.293589,0.359561
0.020000,180.605846,166.940826,133.746731,56.214277,-78.146256,53.387476,0.345663
0.020000,181.637150,167.304192,134.840177,54.672255,-77.101071,52.259229,0.331789
0.020000,182.644541,167.643526,135.903184,53.150383,-76.093614,50.372896,0.317973
0.020000,183.627907,167.959755,136.936146,51.648085,-75.114897,48.935806,0.304247
0.020000,184.587138,168.253820,137.939440,50.164681,-74.170194,47.235192,0.290643
0.020000,185.522126,168.526669,138.913426,48.699305,-73.268789,45.070234,0.277190
0.020000,186.432762,168.779255,139.858443,47.250869,-72.421809,42.348976,0.263916
0.020000,187.318938,169.012528,140.774808,45.818239,-71.631526,39.514177,0.250847
0.020000,188.180552,169.227440,141.662820,44.400597,-70.882078,37.472394,0.238008
0.020000,189.017511,169.424934,142.522764,42.997236,-70.168042,35.701776,0.225422
0.020000,189.829707,169.605939,143.354885,41.606035,-69.560076,30.398336,0.213110
0.020000,190.617054,169.771379,144.159426,40.227050,-68.949257,30.540956,0.201092
0.020000,191.379460,169.922156,144.936598,38.858585,-68.423225,26.301602,0.189384
0.020000,192.116841,170.059157,145.686598,37.499985,-67.929986,24.661918,0.178003
0.020000,192.829091,170.183245,146.409576,36.148926,-67.552952,18.851686,0.166963
